92000000 ffffffff
92000004 ffffffff
92000008 ffffffff
9200000c 00044bef
920010f0 00000000
920010f4 00000000
920010f8 00000000
920010fc 00000000
92001100 00000000
92001104 00000000
92001108 00000000
9200110c 00000000
92001110 00000000
92001114 00000000
92001118 00000000
9200111c 00000000
92001120 00000000
92001124 00000000
92001128 00000000
9200112c 00000000
92001130 00000000
92001134 00000000
92001138 00000000
9200113c 00000000
92001140 00000000
92001144 00000000
92001148 00000000
9200114c 00000000
92001150 00000000
92001154 00000000
92001158 00000000
9200115c 00000000
92001160 00000000
92001164 00000000
92001168 00000000
9200116c 00000000
92001170 00000000
92001174 00000000
92001178 00000000
9200117c 00000000
92001180 00000000
92001184 00000000
92001188 00000000
9200118c 00000000
92001190 00000000
92001194 00000000
92001198 00000000
9200119c 00000000
920011a0 00000000
920011a4 00000000
920011a8 00000000
920011ac 00000000
920011b0 00000000
920011b4 00000000
920011b8 00000000
920011bc 00000000
920011c0 00000000
920011c4 00000000
920011c8 00000000
920011cc 00000000
920011d0 00000000
920011d4 00000000
920011d8 00000000
920011dc 00000000
920011e0 00000000
920011e4 00000000
920011e8 00000000
920011ec 00000000
920011f0 00000000
920011f4 00000000
920011f8 00000000
920011fc 00000000
92001200 00000000
92001204 00000000
92001208 00000000
9200120c 00000000
92001210 00000000
92001214 00000000
92001218 00000000
9200121c 00000000
92001220 00000000
92001224 00000000
92001228 00000000
9200122c 00000000
92001230 00000000
92001234 00000000
92001238 00000000
9200123c 00000000
92001240 00000000
92001244 00000000
92001248 00000000
9200124c 00000000
92001250 00000000
92001254 00000000
92001258 00000000
9200125c 00000000
92001260 00000000
92001264 00000000
92001268 00000000
9200126c 00000000
92001270 00000000
92001274 00000000
92001278 00000000
9200127c 00000000
92001280 00000000
92001284 00000000
92001288 00000000
9200128c 00000000
92001290 00000000
92001294 00000000
92001298 00000000
9200129c 00000000
920012a0 00000000
920012a4 00000000
920012a8 00000000
920012ac 00000000
920012b0 00000000
920012b4 00000000
920012b8 00000000
920012bc 00000000
920012c0 00000000
920012c4 00000000
920012c8 00000000
920012cc 00000000
920012d0 00000000
920012d4 00000000
920012d8 00000000
920012dc 00000000
920012e0 00000000
920012e4 00000000
920012e8 00000000
920012ec 00000000
920012f0 00000000
920012f4 00000000
920012f8 00000000
920012fc 00000000
92001300 00000000
92001304 00000000
92001308 00000000
9200130c 00000000
92001310 00000000
92001314 00000000
92001318 00000000
9200131c 00000000
92001320 00000000
92001324 00000000
92001328 00000000
9200132c 00000000
92001330 00000000
92001334 00000000
92001338 00000000
9200133c 00000000
92001340 00000000
92001344 00000000
92001348 00000000
9200134c 00000000
92001350 00000000
92001354 00000000
92001358 00000000
9200135c 00000000
92001360 00000000
92001364 00000000
92001368 00000000
9200136c 00000000
92001370 00000000
92001374 00000000
92001378 00000000
9200137c 00000000
92001380 00000000
92001384 00000000
92001388 00000000
9200138c 00000000
92001390 00000000
92001394 00000000
92001398 00000000
9200139c 00000000
920013a0 00000000
920013a4 00000000
920013a8 00000000
920013ac 00000000
920013b0 00000000
920013b4 00000000
920013b8 00000000
920013bc 00000000
920013c0 00000000
920013c4 00000000
920013c8 00000000
920013cc 00000000
920013d0 00000000
920013d4 00000000
920013d8 00000000
920013dc 00000000
920013e0 00000000
920013e4 00000000
920013e8 00000000
920013ec 00000000
920013f0 00000000
920013f4 00000000
920013f8 00000000
920013fc 00000000
92001400 00000000
92001404 00000000
92001408 00000000
9200140c 00000000
92001410 00000000
92001414 00000000
92001418 00000000
9200141c 00000000
92001420 00000000
92001424 00000000
92001428 00000000
9200142c 00000000
92001430 00000000
92001434 00000000
92001438 00000000
9200143c 00000000
92001440 00000000
92001444 00000000
92001448 00000000
9200144c 00000000
92001450 00000000
92001454 00000000
92001458 00000000
9200145c 00000000
92001460 00000000
92001464 00000000
92001468 00000000
9200146c 00000000
92001470 00000000
