Stock-table register name mapping
=================================

Each entry of zx_stock_init_table[] (zx_stock_table.h) is
written by the driver during probe. This file maps each entry
index → its underlying HW register, where derivable from the
descriptor tables in zx-fpga-reg-tables.h.

Mapping rule:
  fpga_byte = off + 0x1c0000  (whether off is negative pon_early
                                or non-negative base — same math)
  fpga_word = fpga_byte >> 2

Match against descriptor entries: base_off + stride*sub_idx == fpga_word.
Multiple regs can share the same word (packed bit-fields); shown as alts.

  /*15420*/ off=    0x14380 val=0x10554045  → zx_sparegtable[reg_id=99, sub=6] RW mask=0x3 shift=0 + 12 bitfield alts
  /*15421*/ off=    0x14384 val=0x55555555  → zx_sparegtable[reg_id=112, sub=6] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15422*/ off=    0x1438c val=0x50555555  → zx_sparegtable[reg_id=67, sub=7] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15423*/ off=    0x14390 val=0x15551555  → zx_sparegtable[reg_id=83, sub=7] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15424*/ off=    0x14394 val=0x10554045  → zx_sparegtable[reg_id=99, sub=7] RW mask=0x3 shift=0 + 12 bitfield alts
  /*15425*/ off=    0x14398 val=0x55555555  → zx_sparegtable[reg_id=112, sub=7] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15585*/ off=    0xf8300 val=0x8000ffff  → UNKNOWN (fpga word 0xae0c0)
  /*15600*/ off=   0x180000 val=0x00000140  → zx_pontmregtable[reg_id=0, sub=0] RW mask=0x1 shift=10 + 3 bitfield alts
  /*15602*/ off=   0x1800f0 val=0x4ff1f000  → zx_pontmregtable[reg_id=4, sub=0] RW mask=0xffffffff shift=0
  /*15603*/ off=   0x180104 val=0xfffffffc  → zx_pontmregtable[reg_id=11, sub=0] RW mask=0x7 shift=0 + 2 bitfield alts
  /*15787*/ off=   0x184004 val=0x000000de  → zx_redregtable[reg_id=0, sub=0] RW mask=0x3 shift=0 + 3 bitfield alts
  /*15788*/ off=   0x184014 val=0x0100017f  → zx_redregtable[reg_id=4, sub=0] RW mask=0xfc0ffff shift=0
  /*15789*/ off=   0x184018 val=0x00000001  → zx_redregtable[reg_id=5, sub=0] R mask=0x1 shift=0
  /*15790*/ off=   0x18401c val=0xff803fff  → zx_redregtable[reg_id=6, sub=0] RW mask=0xffffffff shift=0
  /*15791*/ off=   0x184020 val=0x0100ff80  → zx_redregtable[reg_id=6, sub=1] RW mask=0xffffffff shift=0
  /*15792*/ off=   0x184024 val=0x00100200  → zx_redregtable[reg_id=6, sub=2] RW mask=0xffffffff shift=0
  /*15793*/ off=   0x184028 val=0x00000020  → zx_redregtable[reg_id=6, sub=3] RW mask=0xffffffff shift=0
  /*15794*/ off=   0x184040 val=0x000003ff  → zx_redregtable[reg_id=7, sub=0] RW mask=0x1fff shift=0
  /*15796*/ off=   0x184074 val=0x00003fff  → zx_redregtable[reg_id=12, sub=0] RW mask=0x7fff shift=0
  /*16097*/ off=   0x186224 val=0x000005c8  → UNKNOWN (fpga word 0xd1889)
  /*16597*/ off=   0x18a08c val=0x0000004f  → UNKNOWN (fpga word 0xd2823)
  /*16820*/ off=   0x18c000 val=0x01f40fa0  → zx_qmgregtable[reg_id=0, sub=0] RW mask=0x1fff shift=0 + 1 bitfield alts
  /*16821*/ off=   0x18c004 val=0x00000002  → zx_qmgregtable[reg_id=2, sub=0] RW mask=0x1 shift=0 + 1 bitfield alts
